579,0304;87
579,0304;87
579,0304;87
579,0304;87
579,0308;88
579,0312;88
579,0316;88
579,0316;87
579,032;87
579,0324;89
579,0328;88
579,0332;88
579,0336;88
579,0336;89
579,034;90
579,0344;89
579,0348;89
579,0352;89
579,0352;90
579,0356;91
579,036;91
579,0364;91
579,0368;91
579,0372;93
579,0372;93
579,0376;95
579,038;96
579,0384;96
579,0388;96
579,0388;97
579,0392;98
579,0396;99
579,04;99
579,0404;98
579,0404;100
579,0408;101
579,0412;101
579,0416;102
579,042;102
579,0424;104
579,0424;104
579,0428;106
579,0432;106
579,0436;106
579,044;108
579,044;108
579,0444;110
579,0448;110
579,0452;110
579,0456;110
579,046;112
579,046;113
579,0464;114
579,0468;114
579,0472;115
579,0476;117
579,0476;117
579,048;118
579,0484;119
579,0488;119
579,0492;121
579,0492;123
579,0496;124
579,05;127
579,0504;129
579,0508;129
579,0512;132
579,0512;133
579,0516;135
579,052;140
579,0524;142
579,0528;147
579,0528;151
579,0532;154
579,0536;158
579,054;162
579,0544;163
579,0548;165
579,0548;167
579,0552;168
579,0556;167
579,0556;167
579,056;167
579,0564;166
579,0568;165
579,0572;162
579,0572;162
579,0576;159
579,058;149
579,0584;148
579,0588;148
579,0592;148
579,0592;148
579,0596;149
579,06;150
579,0604;152
579,0608;155
579,0608;156
579,0612;162
579,0616;169
579,062;174
579,0624;180
579,0628;185
579,0628;187
579,0632;187
579,0636;192
579,064;193
579,0644;195
579,0644;196
579,0648;199
579,0652;199
579,0656;200
579,066;201
579,066;201
579,0664;200
579,0668;199
579,0672;197
579,0676;195
579,068;192
579,068;191
579,0684;187
579,0688;186
579,0692;185
579,0696;182
579,0696;181
579,07;176
579,0704;171
579,0708;167
579,0712;161
579,0712;160
579,0716;158
579,072;156
579,0724;156
579,0728;154
579,0732;154
579,0732;154
579,0736;152
579,074;156
579,0744;156
579,0748;158
579,0748;159
579,0752;162
579,0756;163
579,076;165
579,0764;166
579,0768;167
579,0768;167
579,0772;167
579,0776;167
579,078;165
579,0784;164
579,0784;164
579,0788;161
579,0792;159
579,0796;158
579,08;156
579,08;155
579,0804;154
579,0808;154
579,0812;151
579,0816;150
579,082;148
579,082;147
579,0824;146
579,0828;145
579,0832;144
579,0836;145
579,0836;146
579,084;143
579,0844;140
579,0848;139
579,0852;138
579,0856;136
579,0856;136
579,086;134
579,0864;131
579,0868;129
579,0872;127
579,0872;127
579,0876;126
579,088;125
579,0884;124
579,0888;123
579,0888;123
579,0892;122
579,0896;120
579,09;120
579,0904;119
579,0908;117
579,0908;117
579,0912;116
579,0916;117
579,092;116
579,0924;116
579,0924;116
579,0928;114
579,0932;115
579,0936;114
579,094;113
579,094;112
579,0944;112
579,0948;110
579,0952;110
579,0956;110
579,096;109
579,096;109
579,0964;110
579,0968;109
579,0972;109
579,0976;110
579,0976;110
579,098;109
579,0984;108
579,0988;107
579,0992;106
579,0996;106
579,0996;106
579,1;106
579,1004;104
579,1008;104
579,1012;102
579,1012;102
579,1016;102
579,102;102
579,1024;101
579,1028;101
579,1028;101
579,1032;100
579,1036;101
579,104;101
579,1044;101
579,1048;101
579,1048;101
579,1052;99
579,1056;99
579,106;99
579,1064;98
579,1064;98
579,1068;97
579,1072;98
579,1076;97
579,108;97
579,1084;97
579,1084;97
579,1088;97
579,1092;97
579,1096;97
